State,Year,Sales (MWh)_res,Sales (MWh)_com,Sales (MWh)_ind,Revenue (thousand$)_res,Revenue (thousand$)_com,Revenue (thousand$)_ind,real_Revenue (thousand$)_res,real_Revenue (thousand$)_com,real_Revenue (thousand$)_ind
MA,2005,17456859.0,24583014.0,6811522.0,2290950.0,2313343.0,438502.0,3432964.527649769,3466520.203097798,657090.644188428
MA,2006,16641553.0,24363179.0,6643139.0,2731123.0,2477075.0,396662.0,3964666.6744295633,3595874.9212549604,575819.0357638889
MA,2007,17073541.0,24954538.0,6425250.0,2702826.0,2160703.0,332487.0,3814931.576959805,3049746.4887239435,469292.1983245073
MA,2008,16618146.0,24764226,6031967,2801417.0,2238063.0,343044,3807883.2721095383,3042132.841925101,466289.5631737597
MA,2009,16509624.0,15723572,13915796.0,2616586.8,1486033.5,790864.4,3569347.991041172,2027133.4732120796,1078836.848571575
MA,2010,18280391.0,16178829,14168027.0,2479952.0,1418869.0,822675.5,3328366.8074256154,1904277.3745964337,1104120.4940588656
MA,2011,17357514.0,15727174,14052191.0,2391534.0,1404938.0,878993.0,3111485.2594258883,1827882.805516162,1143606.4729326617
MA,2012,17247773.0,15646292,14109913.0,2406358.5,1385264.0,868951.2,3067296.387612481,1765744.9058773313,1107620.0311680618
MA,2013,17594070,15616330,13689520.0,2593704.6,1479545.2,928830.8,3258372.2305532782,1858696.2422507156,1166854.7318775568
MA,2014,16935060,23845036,5221662.0,2719955.7,2109674.9,325757.00000000006,3362431.718807026,2607997.549420029,402703.4960251082
MA,2015,16911292,23998360,5198581.0,2945744.5,2067958.4999999998,313960.19999999995,3637236.386619947,2553396.5699401307,387660.05109760055
MA,2016,16382098,23673447,4887603.0,2565823.9,2012138.7000000002,295178.7,3128663.720035249,2453521.9858108307,359929.1789343644
MA,2017,16030478,23334741,4667085,2647446.9000000004,2008019.5,309148.9,3160854.163346524,2397425.5335039976,369100.7315988087
MA,2018,16772499,23268152,4544003,2905313.0,2100477.7,314939.5,3386024.1889513233,2448021.3665628596,367049.1837045562
MA,2019,15934636,22739789,4208031.0,2802957.8,2030919.4,296878.1,3208594.3860680517,2324828.645439006,339841.5077838666
MA,2020,16786617,20965081,4178362,2917756.4,1722074.9,285259.6,3299303.3497107923,1947265.8807372944,322562.21040836745
MA,2021,16684438,21330975,4256913,2973001.1000000006,1897578.7,322960.5,3210922.378567738,2049436.8175388414,348806.1598239657
MA,2022,16257006,21888364,4155261,3342039.5999999996,2066094.3,352186.6,3342039.5999999996,2066094.3,352186.6
MD,2005,25375114.0,16226998.0,21236375.0,2059332.0,1079953.0,737086.0,3085887.385867895,1618298.2345878135,1104515.634050179
MD,2006,23987138.0,28047190.0,5798711.0,2235769.0,1684376.0,142840.0,3245580.241542659,2445144.138293651,207355.35813492062
MD,2007,25029042.0,29008714.0,5810093.0,2875066.0,1509541.0,127593.0,4058041.497766974,2130657.181637102,180092.45312093062
